title,release_date,overview,tagline,genres,keywords,combined,processed,vector
The Last Outlaw,1936,"After serving 25 years in prison for robbery, Dean Payton returns to his home town to see his daughter, Sally, who is unaware he is her father. He befriends Cal Yates, the now semi-retired assistant sheriff who originally caught him, and Chuck Wilson, a young rancher who has eyes for Sally. Wanted criminal Al Goss holds up the local bank and makes his getaway, taking Sally hostage. Showing he still has what it takes, Payton, along with Yates and Wilson, take off into the hills on horseback to try to track Goss down.  - Written by Doug Sederberg",Here they come a-shootin'!,Western,"prison, sheriff, bank robbery","The Last Outlaw 1936 After serving 25 years in prison for robbery, Dean Payton returns to his home town to see his daughter, Sally, who is unaware he is her father. He befriends Cal Yates, the now semi-retired assistant sheriff who originally caught him, and Chuck Wilson, a young rancher who has eyes for Sally. Wanted criminal Al Goss holds up the local bank and makes his getaway, taking Sally hostage. Showing he still has what it takes, Payton, along with Yates and Wilson, take off into the hills on horseback to try to track Goss down.  - Written by Doug Sederberg Western prison, sheriff, bank robbery","['outlaw', 'serve', 'year', 'prison', 'robbery', 'dean', 'payton', 'return', 'home', 'town', 'daughter', 'sally', 'unaware', 'father', 'befriend', 'cal', 'yates', 'semi', 'retired', 'assistant', 'sheriff', 'originally', 'catch', 'chuck', 'wilson', 'young', 'rancher', 'eye', 'sally', 'want', 'criminal', 'al', 'goss', 'hold', 'local', 'bank', 'make', 'getaway', 'take', 'sally', 'hostage', 'show', 'take', 'payton', 'yates', 'wilson', 'hill', 'horseback', 'try', 'track', 'goss', 'write', 'doug', 'sederberg', 'western', 'prison', 'sheriff', 'bank', 'robbery']","[-0.2597568   0.14998434  0.14279275 -0.06596333  0.14804393  0.11666296
  0.00079728 -0.14078774  0.16060211 -0.45013577  0.00485687 -0.27881283
 -0.24655603  0.3579361   0.08389939 -0.3951403  -0.06423466 -0.00103612
 -0.25423187 -0.47173586 -0.00757152 -0.08068015 -0.10536361 -0.10873329
  0.08904852  0.03893217 -0.00345151  0.08582277  0.35267827 -0.04428663
 -0.13563421  0.13341562  0.4173335  -0.4399443  -0.1592458   0.35114563
 -0.15051366  0.08251832 -0.30494082  0.10524321  0.4800331  -0.42194873
 -0.21229288 -0.38197833 -0.48620152 -0.2834058   0.0324679  -0.23510481
 -0.09220491  0.17971043  0.17852038 -0.29786575  0.11024913 -0.02547704
  0.1293411   0.02848907  0.00972474  0.1191148  -0.15249465  0.19749206
  0.43434882 -0.10959397 -0.14654759  0.13277099  0.47535226  0.5130574
  0.27821335 -0.11474731  0.17350507  0.28157198 -0.15679458  0.30810574
 -0.0290186  -0.1617013   0.51476043 -0.15388106  0.43120506 -0.02533171
 -0.04349776  0.22217281 -0.06971686 -0.00573751  0.03098689  0.19864132
 -0.29402968 -0.10368025 -0.16808896 -0.14294203 -0.19374421 -0.15247181
 -0.49082977 -0.22735845 -0.04598039  0.05704484 -0.3408258   0.46698073
 -0.17057298 -0.03637223 -0.0595281   0.5309339 ]"
Behind Prison Gates,1939,An agent for the state attorney general poses as a convict to learn about bank loot.,"""BETTER TO DIE IN A FIGHT FOR FREEDOM THAN A LIVING DEATH BEHIND BARS!""","Crime, Drama, Action","prison, b movie","Behind Prison Gates 1939 An agent for the state attorney general poses as a convict to learn about bank loot. Crime, Drama, Action prison, b movie","['prison', 'gates', 'agent', 'state', 'attorney', 'general', 'pose', 'convict', 'learn', 'bank', 'loot', 'crime', 'drama', 'action', 'prison', 'b', 'movie']","[-0.23088898  0.3580422   0.02672558 -0.08097266  0.09718323  0.09401811
  0.00689844 -0.06749517  0.06623229 -0.54698163  0.18787993 -0.33949214
 -0.34726846  0.3628863  -0.03022351 -0.36133358 -0.10197324  0.23204377
 -0.1832831  -0.4363189  -0.16866349  0.13536267  0.00190529 -0.13194785
  0.15293512 -0.07721946 -0.12451079 -0.03102521  0.47067878  0.08221347
 -0.03297968  0.29310006  0.37769002 -0.55379146 -0.15439199  0.30707204
 -0.06289403  0.250585   -0.20340925  0.05274052  0.42002463 -0.43967867
 -0.25162518 -0.43562743 -0.44720381 -0.36371207 -0.0335661  -0.05391693
 -0.24441898  0.16174619  0.19297381 -0.18062066  0.00147743 -0.00257613
  0.01136521  0.03824624  0.05984941 -0.10967951 -0.18466973  0.13374008
  0.24890022 -0.23719238  0.00603456  0.19996618  0.39912924  0.47680894
  0.30186245 -0.09560186  0.03092585  0.20421042 -0.24245834  0.20737904
 -0.04028875 -0.3319506   0.56933796 -0.04200109  0.20856048 -0.01986084
  0.02829349  0.19415793 -0.13485843  0.04655799  0.05793963  0.21323957
 -0.25629592 -0.19467019 -0.21299726 -0.0778433  -0.01583923 -0.14312027
 -0.47825718 -0.17993663  0.08176257  0.09920189 -0.30198398  0.54882395
  0.04926877 -0.08067914  0.01011815  0.43225354]"
Mali,2014,"A Class that didn't Know what to call her,  Sisters that didn't know she existed,  A Family that didn't know if they should hide it,  And strangers who don't know what to make of it",She's unusual. She's unpredictable. She's just like you.,"Drama, Comedy",orthodox jewish,"Mali 2014 A Class that didn't Know what to call her,  Sisters that didn't know she existed,  A Family that didn't know if they should hide it,  And strangers who don't know what to make of it Drama, Comedy orthodox jewish","['mali', 'class', 'know', 'sister', 'know', 'exist', 'family', 'know', 'hide', 'stranger', 'know', 'drama', 'comedy', 'orthodox', 'jewish']","[-0.23310098  0.3589784  -0.08981813 -0.06418078  0.2837822  -0.09732167
 -0.1530557  -0.04217438  0.04318138 -0.52780473  0.2555928  -0.49130583
 -0.3228763   0.33256626  0.05330963 -0.3629879  -0.23327462  0.22933468
 -0.26532254 -0.25210267 -0.03187006  0.07205621 -0.15162295  0.01649314
  0.13841057  0.15524417 -0.2244161   0.09345731  0.17230015 -0.01399058
 -0.02141287 -0.00193866  0.39310205 -0.62539554 -0.22816212  0.31786743
  0.17016102  0.3124522  -0.10869708  0.07452657  0.53851295 -0.6158171
 -0.25453523 -0.22192426 -0.51966316 -0.2732464  -0.1402155  -0.278264
 -0.37416354  0.25452363 -0.02483046 -0.2946075  -0.2357537  -0.03398756
  0.10154106 -0.18868129  0.01737689 -0.00702149 -0.335933    0.32493642
  0.2887291  -0.09143101  0.13752793  0.17154773  0.5713297   0.49733248
  0.07363123 -0.21003203 -0.10835229  0.11579546 -0.3462634   0.22241515
 -0.02971913 -0.183199    0.39678934 -0.01416832  0.2764215  -0.06142769
 -0.07178373 -0.0538674  -0.3420911  -0.02345906  0.04253524  0.31289992
 -0.31584802 -0.13978642 -0.12484622  0.00217999  0.04021519 -0.24118866
 -0.25284377 -0.23691009  0.02642198 -0.17615953 -0.32303074  0.48640293
  0.10281132  0.08723419 -0.0371419   0.5112226 ]"
Zombies Ate My Prom Date,2008,A group of teens from different social gatherings must co-exist and survive Prom from their entire Senior class of zombies.,"This Prom night, the geek will get the girl...even if he has to go through the entire senior class of zombies to do it.","Animation, Comedy, Horror","comic book, prom, zombie, action hero","Zombies Ate My Prom Date 2008 A group of teens from different social gatherings must co-exist and survive Prom from their entire Senior class of zombies. Animation, Comedy, Horror comic book, prom, zombie, action hero","['zombie', 'eat', 'prom', 'date', 'group', 'teen', 'different', 'social', 'gathering', 'co', 'exist', 'survive', 'prom', 'entire', 'senior', 'class', 'zombie', 'animation', 'comedy', 'horror', 'comic', 'book', 'prom', 'zombie', 'action', 'hero']","[-0.2382496   0.4334081   0.04460856 -0.07830767  0.2775302  -0.10651235
  0.07846895 -0.02530716  0.11691856 -0.5684718   0.31758374 -0.34015405
 -0.39961755  0.22999209 -0.05112139 -0.36412197 -0.09723445  0.32787806
 -0.31786636 -0.25124672 -0.223625    0.16296928 -0.17126581 -0.01794958
  0.14031434  0.03659645 -0.28288138  0.01884016  0.40572083 -0.00166687
  0.04924452  0.09047808  0.40626463 -0.5515449  -0.21747711  0.22623928
  0.13310899  0.3201864  -0.11977302  0.18354876  0.52926785 -0.67697406
 -0.19355375 -0.24238752 -0.27118176 -0.302308   -0.00829918 -0.17823938
 -0.3084957   0.18420951  0.12814945 -0.15474664  0.06269654  0.11461992
 -0.02718065 -0.04466111 -0.11471274 -0.04013044 -0.2312307   0.14059955
  0.19638397 -0.22919354  0.02366096  0.04458351  0.47940075  0.5039362
  0.11124362 -0.0524784   0.10524035  0.43028256 -0.23441535  0.11711492
  0.01231958 -0.3371275   0.48394984  0.00112197  0.2388436  -0.10118259
 -0.11192986  0.01957457 -0.2125272   0.05727393 -0.06050345  0.18524638
 -0.18171875 -0.04762027 -0.10682178 -0.09360233  0.01735758 -0.09559952
 -0.3611741  -0.24899624  0.03301372  0.08060319 -0.4907696   0.5155367
  0.12171829 -0.05301736 -0.03115351  0.5072007 ]"
31,2016,"Five carnival workers are kidnapped and held hostage in an abandoned, Hell-like compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns.",Welcome to hell.,"Horror, Thriller","nazi, sadism, psychopath, 1970s, texas, halloween, satanism, clown, carnival, survival, murder, chainsaw, maniac, game, carny, betting, killer clown, midget, ax, death game","31 2016 Five carnival workers are kidnapped and held hostage in an abandoned, Hell-like compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns. Horror, Thriller nazi, sadism, psychopath, 1970s, texas, halloween, satanism, clown, carnival, survival, murder, chainsaw, maniac, game, carny, betting, killer clown, midget, ax, death game","['carnival', 'worker', 'kidnap', 'hold', 'hostage', 'abandon', 'hell', 'like', 'compound', 'force', 'participate', 'violent', 'game', 'goal', 'survive', 'hour', 'gang', 'sadistic', 'clown', 'horror', 'thriller', 'nazi', 'sadism', 'psychopath', 'texas', 'halloween', 'satanism', 'clown', 'carnival', 'survival', 'murder', 'chainsaw', 'maniac', 'game', 'carny', 'betting', 'killer', 'clown', 'midget', 'ax', 'death', 'game']","[-0.17328168  0.3424396   0.00991921 -0.04533818  0.23458949  0.02556904
 -0.03792514 -0.09086536 -0.02643038 -0.6111439   0.17367366 -0.29825342
 -0.3357496   0.29194826  0.03019017 -0.28476536 -0.0244993   0.19716375
 -0.22723357 -0.3916451  -0.11029307  0.10395052 -0.04484812  0.04542113
  0.15027896 -0.11930565 -0.06585236  0.0887102   0.3417417  -0.00083191
 -0.05636836  0.10538667  0.37629697 -0.4630528  -0.17496116  0.32298055
 -0.02519195  0.26069227 -0.16084728  0.12953818  0.5171256  -0.5043248
 -0.22351544 -0.4011194  -0.49078897 -0.46333298 -0.07175475 -0.18414418
 -0.27671057  0.12219807  0.08302673 -0.25745133  0.05967081 -0.118318
  0.12947728 -0.02151862  0.03862728  0.05950292 -0.10994375  0.11268874
  0.17977037 -0.20368068 -0.02942277  0.12836555  0.5042211   0.53109026
  0.2509829  -0.20163262 -0.01020705  0.23934099 -0.1709421   0.22807786
  0.00203268 -0.2797431   0.48808557  0.0944159   0.3120191  -0.04413355
 -0.00824114  0.12091955 -0.19985147  0.08814778  0.17107661  0.23660031
 -0.21187627 -0.15141644 -0.11495798 -0.09126694 -0.07684319 -0.12868074
 -0.40165287 -0.20186156  0.03550838  0.0119057  -0.27423912  0.52332485
  0.06331784 -0.14040992  0.05464361  0.3814828 ]"
Dead Snow 2: Red vs. Dead,2014,"The gruesome Nazi Zombies are back to finish their mission, but our hero is not willing to die. He is gathering his own army to give them a final fight.",The Sequel You Did Nazi Coming.,"Horror, Action, Comedy","nazi, gore, sequel, zombie, aftercreditsstinger","Dead Snow 2: Red vs. Dead 2014 The gruesome Nazi Zombies are back to finish their mission, but our hero is not willing to die. He is gathering his own army to give them a final fight. Horror, Action, Comedy nazi, gore, sequel, zombie, aftercreditsstinger","['dead', 'snow', 'red', 'dead', 'gruesome', 'nazi', 'zombies', 'finish', 'mission', 'hero', 'willing', 'die', 'gather', 'army', 'final', 'fight', 'horror', 'action', 'comedy', 'nazi', 'gore', 'sequel', 'zombie', 'aftercreditsstinger']","[-0.22765632  0.40867844  0.05615228 -0.03383212  0.18010877  0.07651786
  0.1167796  -0.15681578  0.02762526 -0.5465246   0.16239108 -0.39482465
 -0.44726476  0.3409275  -0.0750733  -0.2534799  -0.0055165   0.22874594
 -0.20476444 -0.29328766 -0.13773032  0.14969777 -0.04295908 -0.02814122
  0.24093343  0.00125064 -0.12177684 -0.10127401  0.5691115  -0.03754935
 -0.04643093  0.0575166   0.41780806 -0.5619376  -0.16611268  0.3364083
  0.03720063  0.31187937 -0.25711495  0.2138267   0.52441627 -0.53032786
 -0.3001462  -0.37354767 -0.41016147 -0.49982044 -0.07721106 -0.19376422
 -0.18182367  0.03920823  0.2018375  -0.26621583  0.14234708 -0.02414504
  0.11884922 -0.0412784   0.01272338 -0.06992326 -0.11972404  0.18466234
  0.23140629 -0.18858166 -0.19740917  0.13998601  0.43711066  0.5637807
  0.19807296 -0.1535707   0.04676418  0.20269985 -0.266805    0.13988258
 -0.07840268 -0.2991421   0.52252644  0.13642316  0.24312346 -0.11701506
  0.0614641   0.07748436 -0.19068538  0.21404235  0.05041443  0.14758712
 -0.2872198  -0.1534191  -0.15983267 -0.14165695 -0.12213645 -0.15715303
 -0.49560222 -0.19864641  0.09349102  0.09828275 -0.33586144  0.51078135
  0.09013671 -0.1121022  -0.02791283  0.483483  ]"
Gorp,1980,Pranksters cause trouble at a summer camp for rich kids.,"A bunch of fruits, nuts and flakes.",Comedy,summer camp,Gorp 1980 Pranksters cause trouble at a summer camp for rich kids. Comedy summer camp,"['gorp', 'prankster', 'cause', 'trouble', 'summer', 'camp', 'rich', 'kid', 'comedy', 'summer', 'camp']","[-0.4008359   0.17506213  0.15408128  0.00849943  0.27863234 -0.1094837
  0.02538565 -0.02707639  0.13914575 -0.4042772   0.04667055 -0.24355845
 -0.35300496  0.19843851  0.07849962 -0.34422705 -0.02235846  0.15104789
 -0.29997885 -0.4360959  -0.16746606  0.01691964 -0.25371385  0.00577445
  0.11699867  0.06997805 -0.04859466  0.08342967  0.2720784  -0.08479417
 -0.19055277  0.03189309  0.3252715  -0.4322339  -0.23628192  0.23642097
 -0.17132875  0.0591155  -0.21431383  0.13809992  0.48363268 -0.4930026
 -0.15027727 -0.24908231 -0.45805767 -0.21241418  0.02425854 -0.20847207
 -0.19904009  0.2406548   0.00447923 -0.1456348   0.20097089  0.0131043
 -0.10017205 -0.02833779 -0.04518295  0.11308274 -0.14659227  0.08847621
  0.3285309  -0.09003258  0.0288166   0.10329824  0.3809376   0.29773146
  0.29422876 -0.17062841  0.26660118  0.35906744 -0.13301887  0.28753132
  0.06167924 -0.09789724  0.44799927 -0.02562983  0.4018722   0.01242042
 -0.12714906  0.04321976 -0.13042893  0.1311174   0.03607159  0.13824558
 -0.21651496 -0.09258933 -0.18907966 -0.13411762 -0.10717671 -0.17271803
 -0.30490696 -0.2837321  -0.08569136  0.01398445 -0.40637055  0.46591073
 -0.01176576 -0.12981385 -0.01076444  0.41583732]"
Lesbian Seductions: Older/Younger 3,2005,"Girlfriends Films brings you more of the best in all female adult entertainment with Lesbian Seductions Older/Younger 3. With an emphasis on real-life pacing and genuine orgasms, watch as sultry, sophisticated older women go on the prow for lithe young bodies. For the fine folks with good hearts and curious minds!",Hot mature lesbian women seduce young eager girls into their most erotic lesbian fantasies!,Romance,"seduction, lesbian sex, older woman younger woman relationship","Lesbian Seductions: Older/Younger 3 2005 Girlfriends Films brings you more of the best in all female adult entertainment with Lesbian Seductions Older/Younger 3. With an emphasis on real-life pacing and genuine orgasms, watch as sultry, sophisticated older women go on the prow for lithe young bodies. For the fine folks with good hearts and curious minds! Romance seduction, lesbian sex, older woman younger woman relationship","['lesbian', 'seductions', 'old', 'young', 'girlfriends', 'films', 'bring', 'good', 'female', 'adult', 'entertainment', 'lesbian', 'seductions', 'old', 'younger', 'emphasis', 'real', 'life', 'pacing', 'genuine', 'orgasm', 'watch', 'sultry', 'sophisticated', 'old', 'woman', 'prow', 'lithe', 'young', 'body', 'fine', 'folk', 'good', 'heart', 'curious', 'mind', 'romance', 'seduction', 'lesbian', 'sex', 'old', 'woman', 'young', 'woman', 'relationship']","[-1.85830981e-01  1.44516781e-01  7.11020008e-02 -1.39834180e-01
  2.31193855e-01 -4.60958891e-02 -8.91305283e-02 -1.30946070e-01
  2.19550878e-01 -5.20753801e-01  1.97150577e-02 -4.05603826e-01
 -2.77345479e-01  4.49805111e-01  7.08266497e-02 -3.28296006e-01
 -1.94575146e-01  1.18579969e-01 -4.45405185e-01 -3.26982498e-01
  9.46688354e-02 -5.60563579e-02 -2.35983849e-01 -1.47440031e-01
 -3.97769138e-02  3.08887005e-01 -1.97473794e-01  2.07899008e-02
  4.32912409e-01 -1.24676019e-01 -9.56296176e-02 -7.44218081e-02
  3.46673131e-01 -5.56272984e-01 -1.05756909e-01  3.68308723e-01
  2.27520034e-01  1.40654266e-01 -2.92047381e-01  1.99383974e-01
  4.57142889e-01 -6.25613332e-01 -1.82660043e-01 -3.06143045e-01
 -3.08938593e-01 -6.71327040e-02  7.55481273e-02 -4.66753900e-01
 -1.21250018e-01  2.81954408e-01  1.13536611e-01 -3.21661890e-01
 -1.11669406e-01  1.23969801e-01  3.85943078e-03 -1.43205345e-01
 -6.16883077e-02  4.18873504e-02 -4.08981144e-01  4.26713109e-01
  4.33717757e-01 -2.80412454e-02 -1.24157384e-01  1.37171507e-01
  4.77388978e-01  6.35172486e-01  3.41965631e-02 -9.65561867e-02
  1.88974425e-01  2.44580626e-01 -2.11808920e-01  2.33735621e-01
 -1.45540133e-01 -3.29451747e-02  4.05421585e-01 -2.39359304e-01
  3.50971758e-01 -4.50288765e-02 -2.16454398e-02  2.21173428e-02
 -1.92854330e-01 -7.93288276e-02 -1.70552894e-01  1.35862082e-01
 -4.26821738e-01 -5.80132268e-02 -1.15031622e-01 -1.27267599e-01
 -1.26321733e-01 -1.11137316e-01 -2.77501643e-01 -3.00355792e-01
  7.29660504e-04 -5.57573438e-02 -5.06847680e-01  3.43920082e-01
 -9.52566341e-02  1.99665084e-01 -2.63635218e-01  7.47971237e-01]"
Django Strikes Again,1987,Former gunfighter Django has become a monk and abandoned his violent former ways. His daughter is kidnapped by rogue Hungarian soldiers using slave labor to run a silver mine. Django casts off his habit and digs up his machine gun to practice a little liberation theology.,Forget Young Guns. Here comes the BIG GUN.,Western,"spaghetti western, django","Django Strikes Again 1987 Former gunfighter Django has become a monk and abandoned his violent former ways. His daughter is kidnapped by rogue Hungarian soldiers using slave labor to run a silver mine. Django casts off his habit and digs up his machine gun to practice a little liberation theology. Western spaghetti western, django","['django', 'strikes', 'gunfighter', 'django', 'monk', 'abandon', 'violent', 'way', 'daughter', 'kidnap', 'rogue', 'hungarian', 'soldier', 'slave', 'labor', 'run', 'silver', 'django', 'cast', 'habit', 'dig', 'machine', 'gun', 'practice', 'little', 'liberation', 'theology', 'western', 'spaghetti', 'western', 'django']","[-0.25156504  0.19262     0.12565775 -0.05318255  0.1736816   0.04567745
  0.05231768 -0.06625907  0.0858776  -0.4311201   0.09222604 -0.29593956
 -0.32494703  0.35389328  0.00898986 -0.3205417  -0.0319551   0.08543458
 -0.20281006 -0.3585794  -0.10552381  0.07560773 -0.10632353 -0.04456839
  0.11510722 -0.01850863 -0.04852456  0.01500096  0.3203994  -0.06567977
 -0.10249028  0.13269351  0.35898188 -0.49386114 -0.18511534  0.29231697
 -0.13674541  0.11034636 -0.29193515  0.09133659  0.4214875  -0.40302217
 -0.22968519 -0.33943307 -0.4261815  -0.26213616 -0.03347521 -0.18076141
 -0.13322058  0.14657897  0.16765611 -0.29651845  0.09387457  0.03017011
  0.05482235 -0.01455981  0.01890354  0.02824142 -0.13334602  0.18480533
  0.2963685  -0.10015898 -0.09560674  0.16101205  0.41500333  0.50105226
  0.29271176 -0.15428235  0.20936564  0.25136623 -0.17847234  0.28577927
 -0.01459542 -0.17806868  0.4469627   0.02457006  0.25180608 -0.09244446
  0.03135048  0.1388252  -0.04860315  0.05779761  0.11419468  0.184696
 -0.19989334 -0.10542151 -0.22819042 -0.15085524 -0.14544864 -0.15335834
 -0.41774818 -0.1614892  -0.05279318  0.05981411 -0.3248848   0.44061878
 -0.02193568 -0.04012926  0.00900414  0.4768414 ]"
Bunraku,2010,"In a world with no guns, a mysterious drifter, a bartender and a young samurai plot revenge against a ruthless leader and his army of thugs, headed by nine diverse and deadly assassins.",A civilized weapon for uncivilized times,"Thriller, Action, Drama","bartender, revenge, drifter, uncle nephew relationship","Bunraku 2010 In a world with no guns, a mysterious drifter, a bartender and a young samurai plot revenge against a ruthless leader and his army of thugs, headed by nine diverse and deadly assassins. Thriller, Action, Drama bartender, revenge, drifter, uncle nephew relationship","['bunraku', 'world', 'gun', 'mysterious', 'drifter', 'bartender', 'young', 'samurai', 'plot', 'revenge', 'ruthless', 'leader', 'army', 'thug', 'head', 'diverse', 'deadly', 'assassin', 'thriller', 'action', 'drama', 'bartender', 'revenge', 'drifter', 'uncle', 'nephew', 'relationship']","[-0.24094607  0.36272418  0.02595272 -0.02189789  0.2023547   0.10399674
  0.05217955 -0.13534005 -0.07070588 -0.5555821   0.17903715 -0.37770817
 -0.40253612  0.3825813  -0.08156146 -0.31806183 -0.1505967   0.25887236
 -0.17576288 -0.35055706 -0.08272752  0.1609458  -0.00249514 -0.08035559
  0.2203912   0.05037725 -0.14584154 -0.0546374   0.4581691  -0.04856354
 -0.10277775  0.15561438  0.39576906 -0.6364945  -0.15988964  0.37217954
  0.04751186  0.24032463 -0.19486307  0.13644893  0.41245788 -0.4753504
 -0.31265733 -0.39263484 -0.4178851  -0.3948994  -0.06006622 -0.1986147
 -0.18571025  0.138098    0.15675251 -0.26760405  0.02462052 -0.04726576
  0.03079497 -0.11068206  0.03031621 -0.11882776 -0.17586443  0.24777222
  0.21235873 -0.18941173 -0.04972376  0.20901594  0.36305872  0.56497043
  0.3219028  -0.17550595  0.00928283  0.10632624 -0.31490865  0.16421483
 -0.05610819 -0.16088301  0.5153371   0.08797549  0.14696431 -0.02687883
  0.03685244  0.1212812  -0.15379114  0.1578183   0.10015402  0.26940995
 -0.2982427  -0.17607607 -0.18146019 -0.14443313 -0.05907617 -0.1554433
 -0.51560444 -0.15398301  0.10144164 -0.00711297 -0.3499891   0.49602455
  0.01968008 -0.05142096  0.01984352  0.46007955]"
The Man Who Killed Don Quixote,2018,"Toby, a cynical film director finds himself trapped in the outrageous delusions of an old Spanish shoe-maker who believes himself to be Don Quixote. In the course of their comic and increasingly surreal adventures, Toby is forced to confront the tragic repercussions of a film he made in his idealistic youth.",Today's a marvelous day for adventures!,"Adventure, Comedy","spain, based on novel or book, director, filmmaking, don quixote","The Man Who Killed Don Quixote 2018 Toby, a cynical film director finds himself trapped in the outrageous delusions of an old Spanish shoe-maker who believes himself to be Don Quixote. In the course of their comic and increasingly surreal adventures, Toby is forced to confront the tragic repercussions of a film he made in his idealistic youth. Adventure, Comedy spain, based on novel or book, director, filmmaking, don quixote","['man', 'kill', 'don', 'quixote', 'toby', 'cynical', 'film', 'director', 'find', 'trap', 'outrageous', 'delusion', 'old', 'spanish', 'shoe', 'maker', 'believe', 'don', 'quixote', 'course', 'comic', 'increasingly', 'surreal', 'adventure', 'toby', 'force', 'confront', 'tragic', 'repercussion', 'film', 'idealistic', 'youth', 'adventure', 'comedy', 'spain', 'base', 'novel', 'book', 'director', 'filmmaking', 'don', 'quixote']","[-0.20384398  0.40250716  0.08750738 -0.06553923  0.21256846 -0.01391095
  0.04401298 -0.01663359  0.14213276 -0.558657    0.28473595 -0.4312453
 -0.34425798  0.3339208  -0.04753522 -0.3671964  -0.1052907   0.3511724
 -0.37382203 -0.22332078 -0.21672374  0.20747125 -0.26011494 -0.06569132
  0.09837941  0.10886283 -0.21183911  0.02612342  0.31741145  0.00699885
  0.06550636 -0.0283339   0.4352755  -0.633617   -0.18007664  0.20434825
  0.12449607  0.26222253 -0.13569742  0.27168995  0.38056344 -0.64230645
 -0.13970737 -0.28437874 -0.2729764  -0.2880443   0.02549841 -0.2181472
 -0.25201157  0.14255348  0.07776102 -0.34160793  0.04969322  0.21051958
  0.10312273  0.00092524 -0.03151941  0.02211936 -0.20080845  0.23801029
  0.18202555 -0.16356528 -0.02060995  0.08813984  0.5485347   0.5988957
  0.05752167 -0.08939479  0.13537851  0.37249798 -0.2679109   0.2187545
  0.01292435 -0.30012345  0.4490241   0.02790134  0.2798186  -0.1104473
 -0.10248154 -0.1004992  -0.11603221  0.07528585  0.01043182  0.09954904
 -0.19023745 -0.05415437 -0.22638981 -0.11151093 -0.09239787 -0.02330103
 -0.30729324 -0.21404639 -0.12135436  0.0585681  -0.39332414  0.4345001
  0.1688681   0.0181172  -0.06714474  0.51037055]"
Wild Weed,1949,A chorus girl's career is ruined and her brother is driven to suicide when she starts smoking marijuana.,How Bad Can a Good Girl Get... Without Losing Her Virtue and Self-Respect?,Drama,marijuana,Wild Weed 1949 A chorus girl's career is ruined and her brother is driven to suicide when she starts smoking marijuana. Drama marijuana,"['wild', 'weed', 'chorus', 'girl', 'career', 'ruin', 'brother', 'drive', 'suicide', 'start', 'smoke', 'marijuana', 'drama', 'marijuana']","[-0.30911213  0.1344972   0.03656079 -0.06675603  0.2418953  -0.037085
 -0.08353333 -0.04272047  0.0860966  -0.5003969   0.05976048 -0.31568465
 -0.30437192  0.2792977   0.09149765 -0.46642032 -0.14584674  0.09364387
 -0.25937086 -0.4628315  -0.05257803 -0.03740292 -0.06913756  0.01222614
  0.03323489 -0.00091643 -0.06551527  0.18068543  0.32514235 -0.03034488
 -0.09488098  0.08127826  0.30963755 -0.4722105  -0.17690313  0.34585208
 -0.05028033  0.10451125 -0.31215486  0.0576013   0.4137438  -0.4886629
 -0.2571643  -0.24904834 -0.50834805 -0.13518615 -0.00706457 -0.30316105
 -0.1678597   0.3101159   0.06916886 -0.19609289  0.04155406  0.07834163
 -0.07873092 -0.09302353 -0.00487496  0.09706146 -0.25027665  0.24017969
  0.39880174 -0.0597966   0.02375338  0.06729221  0.32661274  0.43574348
  0.25222608 -0.11930132  0.18829319  0.29398224 -0.21944925  0.31957087
  0.00703476 -0.13936241  0.4574489  -0.14166877  0.40477508 -0.01269367
 -0.08123912  0.16041891 -0.16049853 -0.07377797 -0.01737415  0.2534222
 -0.32121554 -0.08624516 -0.15123089 -0.16071293 -0.06889766 -0.15697551
 -0.37377843 -0.19397931  0.00868463 -0.02380055 -0.36477205  0.45413432
 -0.08876692  0.06559195 -0.07232577  0.478617  ]"
